sku,name,url,price,categories,group_id,image_url,in_stock,keywords,annual_price,discount_pct,contract_length,energy_source,customer_type,plan_type,speed_mbps,data_allowance,green_energy_pct,promo_badge,rating,category_l1,category_l2,category_l3,description,features,image_url_secondary,on_sale,eco_aware,households_switched_30d,offer_ends_at,lng:es_ES:name,lng:es_ES:description,lng:es_ES:keywords
ELEC-GREEN-100,EcoFlex 100% Green Electricity,/plan/ELEC-GREEN-100,49.9,Energy|Electricity|Green Plans,ELEC-GREEN,https://images.unsplash.com/photo-1466611653911-95081537e5b7?auto=format&fit=crop&w=720&q=70,true,renewable|wind|solar|no commitment|household|carbon-neutral,539,15,No commitment,100% Renewable,Residential,Electricity,,,100,Best Seller,4.7,Electricity,Green Plans,Residential,"100% renewable electricity sourced from Spanish wind and solar farms. Lock in your rate, switch in 5 minutes, no setup fee. Includes the NovaPower app to track usage in real time.","Certified 100% renewable origin|No commitment, leave any time|Real-time usage in the NovaPower app|Free smart-meter installation",https://images.unsplash.com/photo-1518495973542-4542c06a5843?auto=format&fit=crop&w=720&q=70,true,true,4892,,EcoFlex Electricidad 100% Verde,"100% Renovable electricity sourced from Spanish wind and solar farms. Lock in your rate, Cambia en 5 minutos, no setup fee. Includes the NovaPower app to track usage in real time.",Renovable|wind|solar|Sin permanencia|household|carbon-neutral
ELEC-GREEN-50,EcoStart 50% Green Electricity,/plan/ELEC-GREEN-50,39.9,Energy|Electricity|Green Plans,ELEC-GREEN,https://images.unsplash.com/photo-1509391366360-2e959784a276?auto=format&fit=crop&w=720&q=70,true,renewable|partial green|no commitment|entry-level,430,,No commitment,50% Renewable,Residential,Electricity,,,50,New,4.4,Electricity,Green Plans,Residential,A greener entry-level plan. Half of every kWh comes from renewable sources.,50% renewable mix|No commitment|Free smart-meter install,,,true,1340,,EcoStart 50% Electricidad Verde,A greener entry-level Plan. Half of every kWh comes from Renovable sources.,Renovable|partial green|Sin permanencia|entry-level
ELEC-FLEX,FlexPower Standard Electricity,/plan/ELEC-FLEX,36.5,Energy|Electricity|Standard,ELEC-STD,https://images.unsplash.com/photo-1473308822086-710304d7d30c?auto=format&fit=crop&w=720&q=70,true,standard|monthly|flexible|no commitment,392,,No commitment,Standard mix,Residential,Electricity,,,,,4.2,Electricity,Standard,Residential,"A simple, flexible monthly plan. Pay for what you use, change any time.",Pay-as-you-go|No exit fee|Detailed monthly bill,,,,2210,,FlexPower Standard Electricity,"A simple, flexible monthly Plan. Pay for what you use, change any time.",standard|monthly|flexible|Sin permanencia
ELEC-FIXED-12,StablePrice Electricity — 12 months,/plan/ELEC-FIXED-12,42,Energy|Electricity|Fixed,ELEC-FIXED,https://images.unsplash.com/photo-1473308822086-710304d7d30c?auto=format&fit=crop&w=720&q=70,true,fixed price|12 months|predictable|residential,504,,12 months,Standard mix,Residential,Electricity,,,,,4.5,Electricity,Fixed,Residential,Lock in your rate for 12 months and protect yourself from price swings.,Fixed price for 12 months|No surprise bills|Switch online in 5 minutes,,,,1788,,StablePrice Electricity — 12 months,Lock in your rate for 12 months and protect yourself from price swings.,fixed price|12 months|predictable|residential
ELEC-FIXED-24,StablePrice Electricity — 24 months,/plan/ELEC-FIXED-24,39.5,Energy|Electricity|Fixed,ELEC-FIXED,https://images.unsplash.com/photo-1473308822086-710304d7d30c?auto=format&fit=crop&w=720&q=70,true,fixed price|24 months|long term|residential|savings,474,10,24 months,Standard mix,Residential,Electricity,,,,Limited Offer,4.6,Electricity,Fixed,Residential,Two years of stable pricing — our best fixed-rate plan for households.,Fixed for 24 months|10% loyalty discount|Free smart-meter install,,true,,970,2026-07-31,StablePrice Electricity — 24 months,Two years of stable pricing — our best fixed-rate Plan for households.,fixed price|24 months|long term|residential|savings
ELEC-NIGHT,NightSaver Off-Peak Electricity,/plan/ELEC-NIGHT,34.9,Energy|Electricity|Tariff,ELEC-STD,https://images.unsplash.com/photo-1473308822086-710304d7d30c?auto=format&fit=crop&w=720&q=70,true,off-peak|night|EV charging|smart meter|residential,419,,12 months,Standard mix,Residential,Electricity,,,,,4.4,Electricity,Tariff,,Cheaper electricity from 22:00 to 08:00. Perfect for EV owners and heat pumps.,50% cheaper at night|Smart meter required|Best for EV charging,,,,612,,NightSaver Off-Peak Electricity,Cheaper electricity from 22:00 to 08:00. Perfect for EV owners and heat pumps.,off-peak|night|EV charging|smart meter|residential
ELEC-BIZ-S,NovaPower Business — Small,/plan/ELEC-BIZ-S,79,Energy|Electricity|Business,ELEC-BIZ,https://images.unsplash.com/photo-1497366216548-37526070297c?auto=format&fit=crop&w=720&q=70,true,business|small office|fixed price|dedicated support,948,,12 months,Standard mix,Business,Electricity,,,,,4.5,Electricity,Business,,Built for shops and small offices up to 15 kW. Dedicated business support line.,Up to 15 kW|Dedicated support|Custom invoicing,,,,305,,NovaPower Business — Small,Built for shops and small offices up to 15 kW. Dedicated business support line.,business|small office|fixed price|dedicated support
ELEC-BIZ-L,NovaPower Business — Industrial,/plan/ELEC-BIZ-L,249,Energy|Electricity|Business,ELEC-BIZ,https://images.unsplash.com/photo-1497366216548-37526070297c?auto=format&fit=crop&w=720&q=70,true,business|industrial|high consumption|account manager,2988,,24 months,Standard mix,Business,Electricity,,,,,4.3,Electricity,Business,,For warehouses and light industrial sites with consumption above 50 kW.,50 kW+|Personal account manager|Quarterly review,,,,78,,NovaPower Business — Industrial,For warehouses and light industrial sites with consumption above 50 kW.,business|industrial|high consumption|account manager
GAS-FIXED-12,WarmHome Gas — 12 months,/plan/GAS-FIXED-12,32.5,Energy|Gas|Fixed,GAS-FIXED,https://images.unsplash.com/photo-1605000797499-95a51c5269ae?auto=format&fit=crop&w=720&q=70,true,natural gas|fixed price|residential|heating,390,,12 months,,Residential,Gas,,,,,4.3,Gas,Fixed,,A predictable gas bill for one year. Ideal for households with central heating.,Fixed for 12 months|Free boiler check (1st year)|24/7 emergency line,,,,1102,,WarmHome Gas — 12 months,A predictable gas bill for one year. Ideal for households with central heating.,natural gas|fixed price|residential|heating
GAS-FIXED-24,WarmHome Gas — 24 months,/plan/GAS-FIXED-24,29.9,Energy|Gas|Fixed,GAS-FIXED,https://images.unsplash.com/photo-1605000797499-95a51c5269ae?auto=format&fit=crop&w=720&q=70,true,natural gas|fixed price|long term|savings,358,8,24 months,,Residential,Gas,,,,Most Popular,4.5,Gas,Fixed,,Lock in two years of stable gas pricing.,Fixed 24 months|8% loyalty discount|Free boiler check (annual),,,,1456,,WarmHome Gas — 24 months,Lock in two years of stable gas pricing.,natural gas|fixed price|long term|savings
